flow,fail
0.886562,0
0.765014,0
0.617803,0
0.691984,0
0.741757,0
0.850737,0
0.880047,0
0.795938,0
0.783165,0
0.675909,0
0.725105,0
0.891341,0
0.982308,0.123461
0.780725,0
0.94331,0.0649648
0.790041,0
0.870828,0
0.946772,0.0701584
0.843728,0
0.78267,0
0.673433,0
0.680204,0
0.759771,0
0.920873,0.031309
0.74834,0
1.03172,0.197579
0.715748,0
0.713726,0
0.898981,0
0.841706,0
0.731831,0
0.750354,0
0.707759,0
0.728993,0
0.852357,0
0.828879,0
0.678645,0
0.797866,0
0.694344,0
0.897239,0
0.95271,0.0790649
0.859445,0
0.751885,0
0.966433,0.0996498
0.594395,0
0.929181,0.0437712
0.787111,0
0.860678,0
0.759364,0
0.845534,0
0.770096,0
0.725507,0
0.806405,0
0.910037,0.0150551
0.736025,0
0.755324,0
1.05283,0.229248
0.746557,0
0.826507,0
0.782956,0
0.860856,0
0.780858,0
0.905463,0.00819452
0.686604,0
0.753002,0
0.933606,0.0504083
0.652453,0
0.844674,0
0.940148,0.0602222
0.794209,0
0.920305,0.0304575
0.743483,0
0.811821,0
0.827177,0
0.723842,0
0.781919,0
0.835685,0
0.818459,0
0.781117,0
0.728583,0
0.769596,0
0.812255,0
0.962857,0.0942851
0.816169,0
0.710958,0
0.95404,0.0810604
0.580963,0
0.903354,0.00503154
0.901708,0.00256268
0.727423,0
0.749442,0
0.570895,0
1.02216,0.18324
0.731261,0
0.956378,0.0845673
0.95832,0.0874802
0.85787,0
0.859879,0
0.844138,0
0.786671,0
0.569576,0
0.845502,0
0.831844,0
0.522289,0
0.980618,0.120927
0.763388,0
0.82195,0
0.737125,0
0.691784,0
0.795749,0
0.800848,0
0.769354,0
0.731476,0
0.853079,0
0.900124,0.000186734
0.638464,0
0.977865,0.116798
0.671366,0
0.927942,0.0419135
0.932275,0.0484122
0.909195,0.0137921
0.745064,0
0.893277,0
0.734702,0
0.826907,0
0.9352,0.0528002
0.738117,0
0.796187,0
0.820598,0
0.72434,0
0.683782,0
0.751744,0
0.867765,0
0.860144,0
0.627738,0
0.888745,0
0.903314,0.00497122
0.889283,0
