flow,fail
1.18656,0.429843
1.06501,0.247521
0.917803,0.026705
0.991984,0.137975
1.04176,0.212636
1.15074,0.376105
1.18005,0.42007
1.09594,0.293907
1.08317,0.274748
0.975909,0.113864
1.02511,0.187658
1.19134,0.437012
1.28231,1
1.08073,0.271088
1.24331,1
1.09004,0.285062
1.17083,0.406241
1.24677,1
1.14373,0.365593
1.08267,0.274004
0.973433,0.11015
0.980204,0.120306
1.05977,0.239656
1.22087,0.481309
1.04834,0.22251
1.33172,1
1.01575,0.173622
1.01373,0.170589
1.19898,0.448472
1.14171,0.362558
1.03183,0.197746
1.05035,0.225531
1.00776,0.161639
1.02899,0.19349
1.15236,0.378536
1.12888,0.343319
0.978645,0.117967
1.09787,0.2968
0.994344,0.141516
1.19724,0.445859
1.25271,1
1.15944,0.389167
1.05189,0.227828
1.26643,1
0.894395,0
1.22918,0.493771
1.08711,0.280666
1.16068,0.391017
1.05936,0.239046
1.14553,0.368302
1.0701,0.255144
1.02551,0.188261
1.10641,0.309608
1.21004,0.465055
1.03602,0.204037
1.05532,0.232987
1.35283,1
1.04656,0.219835
1.12651,0.339761
1.08296,0.274434
1.16086,0.391284
1.08086,0.271288
1.20546,0.458195
0.986604,0.129906
1.053,0.229504
1.23361,1
0.952453,0.0786795
1.14467,0.367011
1.24015,1
1.09421,0.291313
1.2203,0.480457
1.04348,0.215224
1.11182,0.317731
1.12718,0.340766
1.02384,0.185763
1.08192,0.272879
1.13568,0.353527
1.11846,0.327689
1.08112,0.271676
1.02858,0.192875
1.0696,0.254393
1.11226,0.318383
1.26286,1
1.11617,0.324253
1.01096,0.166437
1.25404,1
0.880963,0
1.20335,0.455032
1.20171,0.452563
1.02742,0.191135
1.04944,0.224163
0.870895,0
1.32216,1
1.03126,0.196891
1.25638,1
1.25832,1
1.15787,0.386805
1.15988,0.389819
1.14414,0.366207
1.08667,0.280006
0.869576,0
1.1455,0.368253
1.13184,0.347766
0.822289,0
1.28062,1
1.06339,0.245082
1.12195,0.332925
