flow,fail
0.693558,0
0.421769,0
0.0925959,0
0.258468,0
0.369766,0
0.613451,0
0.678991,0
0.490917,0
0.462357,0
0.222524,0
0.33253,0
0.704246,0
0.907652,0.0114785
0.4569,0
0.820451,0
0.477732,0
0.658375,0
0.828193,0
0.59778,0
0.461248,0
0.216988,0
0.232128,0
0.410045,0
0.770279,0
0.384485,0
1.01814,0.17721
0.311607,0
0.307085,0
0.721328,0
0.593256,0
0.347569,0
0.388988,0
0.293743,0
0.341224,0
0.617075,0
0.564576,0
0.228641,0
0.495229,0
0.263746,0
0.717433,0
0.84147,0
0.632922,0
0.392412,0
0.872156,0
0.0402524,0
0.788857,0
0.471179,0
0.635679,0
0.409135,0
0.601818,0
0.433133,0
0.333429,0
0.514322,0
0.74605,0
0.356947,0
0.400102,0
1.06535,0.248023
0.380498,0
0.559272,0
0.461889,0
0.636078,0
0.457198,0
0.735822,0
0.246439,0
0.39491,0
0.798751,0
0.170075,0
0.599894,0
0.813381,0
0.48705,0
0.76901,0
0.373624,0
0.526432,0
0.560771,0
0.329705,0
0.45957,0
0.579794,0
0.541276,0
0.457776,0
0.340307,0
0.432014,0
0.527403,0
0.864159,0
0.536154,0
0.300896,0
0.844444,0
0.0102179,0
0.731107,0
0.727427,0
0.337714,0
0.386949,0
-0.0122947,0
0.996764,0.145147
0.346294,0
0.849672,0
0.854015,0
0.629402,0
0.633894,0
0.598696,0
0.470195,0
-0.015243,0
0.601746,0
0.571206,0
-0.12098,0
0.903875,0.00581207
0.418134,0
0.549081,0
0.359407,0
0.258021,0
0.490495,0
0.501896,0
0.431474,0
0.346776,0
0.618687,0
0.723885,0
0.138795,0
0.897719,0
0.212365,0
0.786088,0
0.795775,0
0.744167,0
0.37716,0
0.708573,0
0.353989,0
0.560166,0
0.802317,0
0.361625,0
0.491474,0
0.546059,0
0.330818,0
0.24013,0
0.392095,0
0.651526,0
0.634487,0
0.114811,0
0.69844,0
0.731017,0
0.699643,0
0.740949,0
0.376683,0
0.638114,0
0.471636,0
0.302118,0
0.73875,0
0.709413,0
0.0287476,0
0.58613,0
0.509057,0
0.204236,0
0.824758,0
0.393796,0
0.42497,0
0.516843,0
0.670635,0
0.293366,0
0.686263,0
0.569796,0
0.687866,0
0.628495,0
0.595088,0
0.492432,0
0.745032,0
0.406429,0
0.404076,0
0.506465,0
0.717417,0
0.614265,0
0.297826,0
0.275448,0
0.550256,0
0.608898,0
0.344031,0
0.517349,0
0.216022,0
0.783952,0
0.613324,0
0.447898,0
-0.0446479,0
0.312553,0
0.636178,0
0.296994,0
0.310907,0
0.414872,0
0.804637,0
0.145154,0
0.544653,0
0.357498,0
0.582423,0
0.684982,0
0.215814,0
0.321191,0
0.445808,0
0.292996,0
0.449993,0
0.339293,0
0.636571,0
0.486732,0
0.806145,0
0.914404,0.0216054
0.655978,0
0.640125,0
0.534281,0
0.691325,0
0.633665,0
0.477367,0
0.656323,0
0.445263,0
0.17202,0
0.720911,0
0.199988,0
0.735764,0
0.532283,0
0.432624,0
0.36172,0
0.528181,0
0.368293,0
0.830755,0
0.847198,0
0.669876,0
0.825363,0
0.144433,0
0.500591,0
0.439256,0
0.887736,0
0.602736,0
0.578919,0
0.603418,0
0.236265,0
0.504711,0
0.945557,0.0683361
0.607359,0
0.111605,0
0.639653,0
0.6069,0
0.8612,0
0.656388,0
0.407475,0
0.382752,0
0.477231,0
0.635257,0
0.707274,0
0.726929,0
0.699789,0
0.647054,0
0.399312,0
0.231022,0
0.401789,0
0.1797,0
0.319931,0
0.610485,0
0.311076,0
-0.0635813,0
0.651086,0
0.318775,0
0.229377,0
0.930678,0.0460174
0.206137,0
0.435297,0
0.772822,0
0.209631,0
0.523323,0
0.472269,0
0.560736,0
0.542015,0
0.552554,0
0.258295,0
0.0905958,0
0.292894,0
0.829535,0
0.694365,0
0.308323,0
0.437024,0
0.925795,0.038692
0.399396,0
0.103259,0
0.834406,0
0.444476,0
0.480714,0
0.512767,0
0.381679,0
0.178849,0
0.644097,0
0.445579,0
0.321963,0
0.27392,0
0.254766,0
0.59914,0
0.458922,0
0.0742729,0
0.327849,0
0.38006,0
0.473994,0
0.285232,0
0.170746,0
0.817306,0
0.895144,0
0.135058,0
0.609778,0
0.417494,0
0.248242,0
0.421285,0
0.236254,0
0.542528,0
0.300484,0
0.530726,0
0.245833,0
0.0800459,0
0.649098,0
0.528504,0
0.361656,0
0.156194,0
0.518055,0
0.711086,0
0.502487,0
0.982644,0.123965
0.171617,0
0.227806,0
0.342314,0
0.477648,0
0.456235,0
0.502042,0
0.213673,0
0.193683,0
0.125531,0
0.708635,0
0.725483,0
0.685496,0
0.67074,0
0.268271,0
0.678964,0
-0.0151312,0
0.529641,0
0.673394,0
0.463041,0
0.360806,0
0.903177,0.00476572
0.394735,0
0.567638,0
0.460168,0
0.692442,0
0.50488,0
0.577803,0
0.229739,0
0.61029,0
0.487737,0
0.545207,0
0.527513,0
0.703575,0
0.214575,0
0.732549,0
0.375335,0
0.683392,0
0.65774,0
0.487326,0
-0.00287894,0
0.362484,0
0.346503,0
1.06542,0.248129
0.298941,0
0.913059,0.0195891
0.750053,0
0.445362,0
0.68508,0
0.39537,0
0.502378,0
0.614544,0
0.487242,0
0.528834,0
0.320834,0
0.223408,0
0.414824,0
0.284769,0
0.40619,0
