flow,fail
1.39356,1
1.12177,0.332653
0.792596,0
0.958468,0.0877018
1.06977,0.254649
1.31345,1
1.37899,1
1.19092,0.436375
1.16236,0.393535
0.922524,0.0337864
1.03253,0.198796
1.40425,1
1.60765,1
1.1569,0.38535
1.52045,1
1.17773,0.416597
1.35838,1
1.52819,1
1.29778,1
1.16125,0.391872
0.916988,0.0254824
0.932128,0.0481913
1.11005,0.315068
1.47028,1
1.08448,0.276727
1.71814,1
1.01161,0.16741
1.00709,0.160628
1.42133,1
1.29326,1
1.04757,0.221353
1.08899,0.283482
0.993743,0.140615
1.04122,0.211836
1.31707,1
1.26458,1
0.928641,0.0429621
1.19523,0.442844
0.963746,0.0956194
1.41743,1
1.54147,1
1.33292,1
1.09241,0.288618
1.57216,1
0.740252,0
1.48886,1
1.17118,0.406768
1.33568,1
1.10914,0.313703
1.30182,1
1.13313,0.3497
1.03343,0.200143
1.21432,0.471483
1.44605,1
1.05695,0.235421
1.1001,0.300154
1.76535,1
1.0805,0.270746
1.25927,1
1.16189,0.392834
1.33608,1
1.1572,0.385797
1.43582,1
0.946439,0.0696588
1.09491,0.292365
1.49875,1
0.870075,0
1.29989,1
1.51338,1
1.18705,0.430576
1.46901,1
1.07362,0.260436
1.22643,0.489648
1.26077,1
1.0297,0.194557
1.15957,0.389355
1.27979,1
1.24128,1
1.15778,0.386665
1.04031,0.210461
1.13201,0.348021
1.2274,0.491105
1.56416,1
1.23615,1
1.0009,0.151345
1.54444,1
0.710218,0
1.43111,1
1.42743,1
1.03771,0.206571
1.08695,0.280424
0.687705,0
1.69676,1
1.04629,0.219441
1.54967,1
1.55401,1
1.3294,1
1.33389,1
1.2987,1
1.17019,0.405292
0.684757,0
1.30175,1
1.27121,1
0.57902,0
1.60387,1
1.11813,0.3272
1.24908,1
1.05941,0.23911
0.958021,0.0870311
1.1905,0.435743
1.2019,0.452844
1.13147,0.347211
1.04678,0.220164
1.31869,1
1.42389,1
0.838795,0
1.59772,1
0.912365,0.0185482
1.48609,1
1.49578,1
1.44417,1
1.07716,0.265739
1.40857,1
1.05399,0.230983
1.26017,1
1.50232,1
1.06162,0.242437
1.19147,0.437211
1.24606,1
1.03082,0.196227
0.94013,0.0601943
1.0921,0.288143
1.35153,1
1.33449,1
0.814811,0
1.39844,1
1.43102,1
1.39964,1
1.44095,1
1.07668,0.265024
1.33811,1
1.17164,0.407455
1.00212,0.153177
1.43875,1
1.40941,1
0.728748,0
1.28613,1
1.20906,0.463586
0.904236,0.00635458
1.52476,1
1.0938,0.290693
1.12497,0.337455
1.21684,0.475264
1.37063,1
0.993366,0.140049
1.38626,1
1.2698,1
1.38787,1
1.32849,1
1.29509,1
1.19243,0.438648
1.44503,1
1.10643,0.309644
1.10408,0.306114
1.20646,0.459697
1.41742,1
1.31427,1
0.997826,0.146739
0.975448,0.113171
1.25026,1
1.3089,1
1.04403,0.216046
1.21735,0.476023
0.916022,0.0240328
1.48395,1
1.31332,1
1.1479,0.371847
0.655352,0
1.01255,0.168829
1.33618,1
0.996994,0.145491
1.01091,0.166361
1.11487,0.322308
1.50464,1
0.845154,0
1.24465,1
1.0575,0.236248
1.28242,1
1.38498,1
0.915814,0.023721
1.02119,0.181787
1.14581,0.368712
0.992996,0.139493
1.14999,0.374989
1.03929,0.208939
1.33657,1
1.18673,0.430098
1.50614,1
1.6144,1
1.35598,1
1.34013,1
1.23428,1
1.39133,1
1.33366,1
1.17737,0.416051
1.35632,1
1.14526,0.367895
0.87202,0
1.42091,1
0.899988,0
1.43576,1
1.23228,0.498424
1.13262,0.348937
1.06172,0.242579
1.22818,0.492271
1.06829,0.25244
1.53075,1
1.5472,1
1.36988,1
1.52536,1
0.844433,0
1.20059,0.450887
1.13926,0.358884
1.58774,1
1.30274,1
1.27892,1
1.30342,1
0.936265,0.0543971
1.20471,0.457066
1.64556,1
1.30736,1
0.811605,0
1.33965,1
1.3069,1
1.5612,1
1.35639,1
1.10747,0.311212
1.08275,0.274128
