ID,Name,Frame,Ex,Var,Min,Max,Dif,Neg
1175,MOGEN2.AGG,DA,32.4568723776,193.801205471,18.4109405594,53.112020979,34.7010804196,0.0298986013986
1176,MOWR,DA,35.3442202203,231.973116089,19.5262537363,58.3130654268,38.7868116905,0.0302424443706
1177,MP.AZ,DA,29.6786889385,171.688379298,14.640234852,49.613452325,34.973217473,0.112461249413
1178,MP.BISON1,DA,23.2665483933,100.446721854,11.2504437643,38.7529609793,27.502517215,2.54356541699
1179,MP.BLNCHR123,DA,35.2141978481,482.841047306,17.1986513158,60.5531332237,43.3544819079,0.137269736842
1180,MP.BOS111,DA,33.8815289771,270.751208055,15.6439853869,59.1069877117,43.4630023248,0.263676519429
1181,MP.BOS112,DA,33.8801381047,270.737902942,15.6433709731,59.104476918,43.4611059449,0.263696446363
1182,MP.BOS233,DA,33.2914020813,262.45890414,15.33396546,58.1010959814,42.7671305214,0.178482231817
1183,MP.FONDLA1,DA,35.286535481,294.586310775,16.1771471272,61.5891730322,45.412025905,0.104187977416
1184,MP.HIBBAR3,DA,35.3175,294.75426401,16.1402092328,61.635523082,45.4953138492,0.128389239455
1185,MP.HIBBAR4,DA,35.349994188,295.095619074,16.1633909,61.6775091332,45.5141182331,0.128163400864
1186,MP.HVDCE,DA,29.2063725806,126.055323879,15.5693935484,47.4535032258,31.8841096774,0.0548322580645
1187,MP.HVDCW,DA,23.9962443548,103.799824539,11.7902516129,39.8896,28.0993483871,2.16255483871
1188,MP.LASKIN1,DA,32.6662506919,248.221415714,15.1938259714,56.870873464,41.6770474925,0.0975954832282
1189,MP.LASKIN2,DA,32.6693527898,248.259971023,15.1938425772,56.8774526735,41.6836100963,0.0976851544337
1190,MP.MP,DA,35.2001415643,289.279620446,16.3110993026,61.2457223514,44.9346230488,0.0805048156759
1191,MP.MPM_1.AZ,DA,28.9789490371,163.214771407,14.2560028182,48.5252559887,34.2692531705,0.146961014561
1192,MP.MPM_2.AZ,DA,28.9789490371,163.214771407,14.2560028182,48.5252559887,34.2692531705,0.146961014561
1193,MP.MP_BOS4,DA,28.837214468,164.389763952,14.0450652859,48.3178973435,34.2728320576,0.242008104457
1194,MP.MRES,DA,37.1711056681,356.895187115,16.7743772833,65.4387279973,48.664350714,0.118771172368
1195,MP.NSP1,DA,33.9725856764,275.491712974,15.563946477,59.063153794,43.4992073171,0.0916768292683
1196,MP.NSPP_1.AZ,DA,28.5513672303,162.379190218,13.8576890559,48.0473085956,34.1896195397,0.126049788633
1197,MP.OLIVER12,DA,24.1433351782,104.939677672,11.8991081594,40.2223023403,28.3231941809,2.12016445288
1198,MP.POTLTUN_5,DA,35.3346272003,296.47626,16.1755297243,61.7067319827,45.5312022584,0.0932813018931
1199,MP.SLVRBAY1,DA,27.8771905222,111.758310187,15.5212475822,44.8095938104,29.2883462282,0.070996131528
1200,MP.SLVRBAY2,DA,27.8771905222,111.758310187,15.5212475822,44.8095938104,29.2883462282,0.070996131528
1201,MP.TACHB1,DA,30.5872100908,214.928816812,14.306353371,53.2459548323,38.9396014613,0.103822650282
1202,MP.TACHB2,DA,30.5877773165,214.931797676,14.3069445367,53.2467452674,38.9398007307,0.103822650282
1203,MP.TACHB3,DA,30.5872188088,214.928996154,14.3063600133,53.2459747592,38.9396147459,0.103822650282
1204,MP.TACRIDGE1,DA,29.6874151446,181.386520175,14.4803105023,49.777456621,35.2971461187,0.114401826484
