flow,fail
1.27373,1
0.889364,0
0.423844,0
0.658422,0
0.815821,0
1.16044,0.390665
1.25313,1
0.987155,0.130732
0.946764,0.0701464
0.60759,0
0.763162,0
1.28885,1
1.57651,1
0.939048,0.0585714
1.45319,1
0.968508,0.102762
1.22398,0.485965
1.46413,1
1.13828,0.357422
0.945197,0.067795
0.599761,0
0.621171,0
0.872785,0
1.38223,1
0.836637,0
1.73276,1
0.733572,0
0.727177,0
1.31301,1
1.13188,0.347827
0.78443,0
0.843005,0
0.708309,0
0.775457,0
1.16557,0.398353
1.09132,0.286986
0.616241,0
0.993253,0.139879
0.665887,0
1.3075,1
1.48291,1
1.18798,0.43197
0.847848,0
1.52631,1
0.349819,0
1.40851,1
0.959241,0.0888614
1.19188,0.43782
0.871498,0
1.14399,0.365989
0.905436,0.00815427
0.764433,0
1.02025,0.180382
1.34797,1
0.797693,0
0.858723,0
1.79952,1
0.830998,0
1.08382,0.275734
0.946103,0.0691548
1.19244,0.438665
0.939469,0.0592032
1.3335,1
0.641411,0
0.85138,0
1.4225,1
0.533415,0
1.14127,0.361907
1.44319,1
0.981686,0.12253
1.38044,1
0.821277,0
1.03738,0.20607
1.08594,0.278914
0.759166,0
0.942823,0.064235
1.11285,0.319268
1.05837,0.23756
0.940287,0.0604304
0.77416,0
0.903853,0.00577955
1.03875,0.208131
1.515,1
1.05113,0.226695
0.718425,0
1.48712,1
0.307343,0
1.32684,1
1.32163,1
0.770493,0
0.840122,0
0.275506,0
1.70253,1
0.782627,0
1.49451,1
1.50065,1
1.183,0.424502
1.18936,0.434033
1.13958,0.359366
0.957849,0.0867734
0.271336,0
1.14389,0.365835
1.1007,0.301051
0.121801,0
1.57117,1
0.884223,0
1.06941,0.254117
0.801171,0
0.65779,0
0.986559,0.129838
1.00268,0.154022
0.903089,0.00463394
0.783308,0
1.16785,0.401774
1.31662,1
0.489179,0
1.56246,1
0.593223,0
1.40459,1
1.41829,1
1.3453,1
0.826277,0
1.29497,1
0.793509,0
1.08509,0.277632
1.42754,1
0.804308,0
0.987943,0.131914
1.06514,0.247706
0.760741,0
0.632488,0
0.8474,0
1.21429,0.471436
1.19019,0.435289
0.45526,0
1.28064,1
1.32671,1
1.28234,1
1.34075,1
0.825603,0
1.19532,0.442984
0.959888,0.0898317
0.720153,0
1.33764,1
1.29615,1
0.333548,0
1.12181,0.332708
1.01281,0.169213
0.581727,0
1.45928,1
0.849804,0
0.893891,0
1.02382,0.185729
1.24131,1
0.707776,0
1.26342,1
1.09871,0.29806
1.26568,1
1.18172,0.422579
1.13448,0.351713
0.989297,0.133946
1.34653,1
0.867671,0
0.864343,0
1.00914,0.163714
1.30747,1
1.1616,0.392394
0.714083,0
0.682435,0
1.07107,0.25661
1.15401,0.381008
0.779426,0
1.02454,0.186803
0.598394,0
1.40157,1
1.16026,0.390396
0.926317,0.0394751
0.229752,0
0.73491,0
1.19259,0.438878
0.712906,0
0.732583,0
0.879611,0
1.43082,1
0.498171,0
1.06315,0.244723
0.798472,0
1.11656,0.324846
1.2616,1
0.5981,0
0.747126,0
0.923361,0.0350421
