flow,fail
1.47373,1
1.08936,0.284046
0.623844,0
0.858422,0
1.01582,0.173731
1.36044,1
1.45313,1
1.18715,0.430732
1.14676,0.370146
0.80759,0
0.963162,0.0947434
1.48885,1
1.77651,1
1.13905,0.358571
1.65319,1
1.16851,0.402762
1.42398,1
1.66413,1
1.33828,1
1.1452,0.367795
0.799761,0
0.821171,0
1.07278,0.259177
1.58223,1
1.03664,0.204955
1.93276,1
0.933572,0.0503576
0.927177,0.0407657
1.51301,1
1.33188,1
0.98443,0.126645
1.04301,0.214508
0.908309,0.0124629
0.975457,0.113185
1.36557,1
1.29132,1
0.816241,0
1.19325,0.439879
0.865887,0
1.5075,1
1.68291,1
1.38798,1
1.04785,0.221772
1.72631,1
0.549819,0
1.60851,1
1.15924,0.388861
1.39188,1
1.0715,0.257247
1.34399,1
1.10544,0.308154
0.964433,0.0966495
1.22025,0.480382
1.54797,1
0.997693,0.146539
1.05872,0.238085
1.99952,1
1.031,0.196497
1.28382,1
1.1461,0.369155
1.39244,1
1.13947,0.359203
1.5335,1
0.841411,0
1.05138,0.227071
1.6225,1
0.733415,0
1.34127,1
1.64319,1
1.18169,0.42253
1.58044,1
1.02128,0.181916
1.23738,1
1.28594,1
0.959166,0.0887494
1.14282,0.364235
1.31285,1
1.25837,1
1.14029,0.36043
0.97416,0.11124
1.10385,0.30578
1.23875,1
1.715,1
1.25113,1
0.918425,0.0276374
1.68712,1
0.507343,0
1.52684,1
1.52163,1
0.970493,0.105739
1.04012,0.210183
0.475506,0
1.90253,1
0.982627,0.12394
1.69451,1
1.70065,1
1.383,1
1.38936,1
1.33958,1
1.15785,0.386773
0.471336,0
1.34389,1
1.3007,1
0.321801,0
1.77117,1
1.08422,0.276335
1.26941,1
1.00117,0.151757
0.85779,0
1.18656,0.429838
1.20268,0.454022
1.10309,0.304634
0.983308,0.124962
1.36785,1
1.51662,1
0.689179,0
1.76246,1
0.793223,0
1.60459,1
1.61829,1
1.5453,1
1.02628,0.189416
1.49497,1
0.993509,0.140263
1.28509,1
1.62754,1
1.00431,0.156462
1.18794,0.431914
1.26514,1
0.960741,0.091111
0.832488,0
1.0474,0.2211
1.41429,1
1.39019,1
0.65526,0
1.48064,1
1.52671,1
1.48234,1
1.54075,1
1.0256,0.188405
1.39532,1
1.15989,0.389832
0.920153,0.0302293
1.53764,1
1.49615,1
0.533548,0
1.32181,1
1.21281,0.469213
0.781727,0
1.65928,1
1.0498,0.224706
1.09389,0.290837
1.22382,0.485729
1.44131,1
0.907776,0.0116634
1.46342,1
1.29871,1
1.46568,1
1.38172,1
1.33448,1
1.1893,0.433946
1.54653,1
1.06767,0.251507
1.06434,0.246515
1.20914,0.463714
1.50747,1
1.3616,1
0.914083,0.0211248
0.882435,0
1.27107,1
1.35401,1
0.979426,0.11914
1.22454,0.486803
0.798394,0
1.60157,1
1.36026,1
1.12632,0.339475
0.429752,0
0.93491,0.0523644
1.39259,1
0.912906,0.0193589
0.932583,0.048874
1.07961,0.269416
1.63082,1
0.698171,0
1.26315,1
0.998472,0.147709
1.31656,1
1.4616,1
0.7981,0
0.947126,0.0706896
1.12336,0.335042
0.907252,0.0108775
1.12928,0.343918
0.972726,0.109089
1.39314,1
1.18124,0.421854
1.63295,1
1.78606,1
1.42059,1
1.39817,1
1.24848,1
1.47057,1
1.38903,1
1.16799,0.401988
1.42107,1
1.12259,0.333886
0.736167,0
1.51242,1
0.775719,0
1.53342,1
1.24565,1
1.10472,0.307075
1.00444,0.156663
1.23985,1
1.01374,0.170607
1.66776,1
1.69101,1
1.44024,1
1.66013,1
0.697152,0
1.20084,0.451255
