flow,fail
1.33687,1
1.14468,0.367023
0.911922,0.0178827
1.02921,0.193816
1.10791,0.311866
1.28022,1
1.32657,1
1.19358,0.440366
1.17338,0.410073
1.0038,0.155693
1.08158,0.272372
1.34442,1
1.48825,1
1.16952,0.404286
1.42659,1
1.18425,0.426381
1.31199,1
1.43207,1
1.26914,1
1.1726,0.408897
0.99988,0.149821
1.01059,0.165878
1.13639,0.354588
1.39112,1
1.11832,0.327478
1.56638,1
1.06679,0.250179
1.06359,0.245383
1.3565,1
1.26594,1
1.09222,0.288323
1.1215,0.332254
1.05415,0.231231
1.08773,0.281593
1.28278,1
1.24566,1
1.00812,0.162181
1.19663,0.44494
1.03294,0.199415
1.35375,1
1.44146,1
1.29399,1
1.12392,0.335886
1.46315,1
0.874909,0
1.40425,1
1.17962,0.419431
1.29594,1
1.13575,0.353624
1.272,1
1.15272,0.379077
1.08222,0.273325
1.21013,0.465191
1.37398,1
1.09885,0.29827
1.12936,0.344043
1.59976,1
1.1155,0.323249
1.24191,1
1.17305,0.409577
1.29622,1
1.16973,0.404602
1.36675,1
1.02071,0.181058
1.12569,0.338535
1.41125,1
0.966708,0.100062
1.27064,1
1.42159,1
1.19084,0.436265
1.39022,1
1.11064,0.315958
1.21869,0.478035
1.24297,1
1.07958,0.269375
1.17141,0.407118
1.25642,1
1.22919,0.49378
1.17014,0.405215
1.08708,0.28062
1.15193,0.37789
1.21938,0.479065
1.4575,1
1.22557,0.488348
1.05921,0.238819
1.44356,1
0.853672,0
1.36342,1
1.36082,1
1.08525,0.277869
1.12006,0.330092
0.837753,0
1.55127,1
1.09131,0.28697
1.44726,1
1.45033,1
1.2915,1
1.29468,1
1.26979,1
1.17892,0.418387
0.835668,0
1.27195,1
1.25035,1
0.760901,0
1.48558,1
1.14211,0.363167
1.23471,1
1.10059,0.300879
1.02889,0.193342
1.19328,0.439919
1.20134,0.452011
1.15154,0.377317
1.09165,0.287481
1.28392,1
1.35831,1
0.944589,0.0668842
1.48123,1
0.996612,0.144917
1.40229,1
1.40914,1
1.37265,1
1.11314,0.319708
1.34748,1
1.09675,0.295131
1.24254,1
1.41377,1
1.10215,0.303231
1.19397,0.440957
1.23257,0.498853
1.08037,0.270556
1.01624,0.174366
1.1237,0.33555
1.30715,1
1.2951,1
0.92763,0.041445
1.34032,1
1.36335,1
1.34117,1
1.37038,1
1.1128,0.319202
1.29766,1
1.17994,0.419916
1.06008,0.240115
1.36882,1
1.34808,1
0.866774,0
1.2609,1
1.2064,0.459606
0.990864,0.136295
1.42964,1
1.1249,0.337353
1.14695,0.370419
1.21191,0.467865
1.32066,1
1.05389,0.230832
1.33171,1
1.24935,1
1.33284,1
1.29086,1
1.26724,1
1.19465,0.441973
1.37326,1
1.13384,0.350753
1.13217,0.348257
1.20457,0.456857
1.35374,1
1.2808,1
1.05704,0.235562
1.04122,0.211826
1.23554,1
1.277,1
1.08971,0.28457
1.21227,0.468401
0.999197,0.148796
1.40078,1
1.28013,1
1.16316,0.394738
0.814876,0
1.06745,0.251182
1.29629,1
1.05645,0.234679
1.06629,0.249437
1.13981,0.359708
1.41541,1
0.949086,0.0736285
1.23157,0.497362
1.09924,0.298854
1.25828,1
1.3308,1
0.99905,0.148575
1.07356,0.260345
1.16168,0.392521
1.05363,0.230439
1.16464,0.396959
1.08636,0.279544
1.29657,1
1.19062,0.435927
1.41648,1
1.49303,1
1.31029,1
1.29908,1
1.22424,0.48636
1.33529,1
1.29452,1
1.184,0.425994
1.31054,1
1.1613,0.391943
0.968083,0.102125
1.35621,1
0.987859,0.131789
1.36671,1
1.22283,0.484241
1.15236,0.378537
1.10222,0.303331
1.21993,0.47989
1.10687,0.310304
1.43388,1
1.44551,1
1.32012,1
1.43007,1
0.948576,0.0728639
1.20042,0.450627
1.15705,0.385571
1.47417,1
1.27265,1
1.2558,1
1.27313,1
1.01351,0.170267
1.20333,0.454997
1.51506,1
1.27591,1
0.925363,0.0380448
1.29875,1
1.27559,1
1.45541,1
1.31058,1
1.13457,0.351862
1.11709,0.32564
1.1839,0.42585
1.29564,1
1.34657,1
1.36046,1
1.34127,1
1.30398,1
1.1288,0.343205
1.0098,0.164706
1.13055,0.345831
0.973514,0.11027
1.07267,0.259008
1.27812,1
1.06641,0.249616
0.801488,0
1.30683,1
1.07185,0.257782
1.00864,0.162961
1.50454,1
0.992208,0.138311
1.15425,0.381372
1.39291,1
0.994678,0.142017
1.21649,0.474738
1.18039,0.420587
1.24295,1
1.22971,0.494564
1.23716,1
1.02909,0.193633
0.910508,0.0157613
1.05355,0.230331
1.43302,1
1.33744,1
1.06446,0.246696
1.15547,0.383204
1.50108,1
1.12886,0.343293
0.919462,0.0291931
1.43646,1
1.16074,0.391108
1.18636,0.429544
1.20903,0.463542
1.11633,0.324502
0.972912,0.109368
1.30189,1
1.16152,0.392277
1.07411,0.261163
1.04014,0.210206
1.02659,0.18989
1.2701,1
1.17095,0.40643
0.898965,0
1.07827,0.267406
1.11519,0.322784
1.18161,0.422417
1.04814,0.222204
0.967182,0.100773
1.42437,1
1.47941,1
0.941947,0.0629202
1.27763,1
1.14166,0.36249
1.02198,0.18297
1.14434,0.36651
1.0135,0.170255
1.23007,0.495107
1.05892,0.238381
1.22173,0.48259
1.02028,0.180415
0.903048,0.00457144
1.30543,1
1.22016,0.480233
1.10218,0.303264
0.956892,0.0853385
1.21277,0.46915
1.34926,1
1.20176,0.452637
1.54128,1
0.967798,0.101697
1.00753,0.161295
1.0885,0.282749
1.18419,0.426292
1.16905,0.40358
1.20144,0.452166
0.997536,0.146305
0.983401,0.125102
0.935211,0.052816
1.34753,1
1.35944,1
1.33117,1
1.32073,1
1.03614,0.204215
1.32655,1
0.835747,0
1.22096,0.481439
1.32261,1
1.17387,0.410799
1.10158,0.302363
1.48509,1
1.12557,0.33835
1.24783,1
1.17183,0.407752
1.33608,1
1.20345,0.455176
1.25501,1
1.0089,0.163345
1.27799,1
1.19133,0.436993
1.23197,0.497949
1.21945,0.479182
1.34395,1
0.998174,0.147261
1.36444,1
1.11185,0.317772
1.32968,1
1.31154,1
1.19104,0.436558
0.844411,0
1.10276,0.304142
1.09146,0.287192
1.59981,1
1.05783,0.236745
1.49208,1
1.37681,1
1.16136,0.392047
1.33087,1
1.12602,0.339023
1.20168,0.452522
1.28099,1
1.19098,0.436468
1.22039,0.480583
1.07331,0.259966
1.00442,0.15663
1.13977,0.359657
1.04781,0.221713
1.13367,0.3505
1.4505,1
1.1964,0.444604
1.60605,1
1.15151,0.377266
1.31046,1
1.2874,1
1.22951,0.494266
1.23004,0.495065
0.96292,0.0943802
1.27862,1
1.1497,0.374551
1.24419,1
1.01987,0.179798
1.05505,0.232582
1.2127,0.469049
