flow,fail
1.29356,1
1.02177,0.182653
0.692596,0
0.858468,0
0.969766,0.104649
1.21345,0.470176
1.27899,1
1.09092,0.286375
1.06236,0.243535
0.822524,0
0.93253,0.0487956
1.30425,1
1.50765,1
1.0569,0.23535
1.42045,1
1.07773,0.266597
1.25838,1
1.42819,1
1.19778,0.446669
1.06125,0.241872
0.816988,0
0.832128,0
1.01005,0.165068
1.37028,1
0.984485,0.126727
1.61814,1
0.911607,0.0174102
0.907085,0.0106277
1.32133,1
1.19326,0.439885
0.947569,0.0713535
0.988988,0.133482
0.893743,0
0.941224,0.0618358
1.21707,0.475612
1.16458,0.396864
0.828641,0
1.09523,0.292844
0.863746,0
1.31743,1
1.44147,1
1.23292,0.499383
0.992412,0.138618
1.47216,1
0.640252,0
1.38886,1
1.07118,0.256768
1.23568,1
1.00914,0.163703
1.20182,0.452727
1.03313,0.1997
0.933429,0.0501434
1.11432,0.321483
1.34605,1
0.956947,0.0854209
1.0001,0.150154
1.66535,1
0.980498,0.120746
1.15927,0.388908
1.06189,0.242834
1.23608,1
1.0572,0.235797
1.33582,1
0.846439,0
0.99491,0.142365
1.39875,1
0.770075,0
1.19989,0.449841
1.41338,1
1.08705,0.280576
1.36901,1
0.973624,0.110436
1.12643,0.339648
1.16077,0.391156
0.929705,0.0445572
1.05957,0.239355
1.17979,0.419691
1.14128,0.361914
1.05778,0.236665
0.940307,0.0604606
1.03201,0.198021
1.1274,0.341105
1.46416,1
1.13615,0.354232
0.900896,0.00134453
1.44444,1
0.610218,0
1.33111,1
1.32743,1
0.937714,0.0565705
0.986949,0.130424
0.587705,0
1.59676,1
0.946294,0.069441
1.44967,1
1.45401,1
1.2294,0.494103
1.23389,1
1.1987,0.448044
1.07019,0.255292
0.584757,0
1.20175,0.452619
1.17121,0.406809
0.47902,0
1.50387,1
1.01813,0.1772
1.14908,0.373622
0.959407,0.0891104
0.858021,0
1.0905,0.285743
1.1019,0.302844
1.03147,0.197211
0.946776,0.0701636
1.21869,0.478031
1.32389,1
0.738795,0
1.49772,1
0.812365,0
1.38609,1
1.39578,1
1.34417,1
0.97716,0.115739
1.30857,1
0.953989,0.0809828
1.16017,0.39025
1.40232,1
0.961625,0.0924372
1.09147,0.287211
1.14606,0.369089
0.930818,0.0462272
0.84013,0
0.992095,0.138143
1.25153,1
1.23449,1
0.714811,0
1.29844,1
1.33102,1
1.29964,1
1.34095,1
0.976683,0.115024
1.23811,1
1.07164,0.257455
0.902118,0.0031773
1.33875,1
1.30941,1
0.628748,0
1.18613,0.429194
1.10906,0.313586
0.804236,0
1.42476,1
0.993796,0.140693
1.02497,0.187455
1.11684,0.325264
1.27063,1
0.893366,0
1.28626,1
1.1698,0.404695
1.28787,1
1.22849,0.492742
1.19509,0.442632
1.09243,0.288648
1.34503,1
1.00643,0.159644
1.00408,0.156114
1.10646,0.309697
1.31742,1
1.21427,0.471398
0.897826,0
0.875448,0
1.15026,0.375384
1.2089,0.463347
0.944031,0.0660464
1.11735,0.326023
0.816022,0
1.38395,1
1.21332,0.469986
1.0479,0.221847
0.555352,0
0.912553,0.0188291
1.23618,1
0.896994,0
0.910907,0.0163611
1.01487,0.172308
1.40464,1
0.745154,0
1.14465,0.366979
0.957498,0.0862477
1.18242,0.423635
1.28498,1
0.815814,0
0.921191,0.031787
1.04581,0.218712
0.892996,0
1.04999,0.224989
0.939293,0.0589395
1.23657,1
1.08673,0.280098
1.40614,1
1.5144,1
1.25598,1
1.24013,1
1.13428,0.351421
1.29133,1
1.23366,1
1.07737,0.266051
1.25632,1
1.04526,0.217895
0.77202,0
1.32091,1
0.799988,0
1.33576,1
1.13228,0.348424
1.03262,0.198937
0.96172,0.0925794
1.12818,0.342271
0.968293,0.10244
1.43075,1
1.4472,1
1.26988,1
1.42536,1
0.744433,0
1.10059,0.300887
1.03926,0.208884
1.48774,1
1.20274,0.454105
1.17892,0.418379
1.20342,0.455126
0.836265,0
1.10471,0.307066
1.54556,1
1.20736,0.461038
0.711605,0
1.23965,1
1.2069,0.460349
1.4612,1
1.25639,1
1.00747,0.161212
0.982752,0.124128
1.07723,0.265846
1.23526,1
1.30727,1
1.32693,1
1.29979,1
1.24705,1
0.999312,0.148968
0.831022,0
1.00179,0.152683
0.7797,0
0.919931,0.0298961
1.21049,0.465728
0.911076,0.0166139
0.536419,0
1.25109,1
0.918775,0.0281625
0.829377,0
1.53068,1
0.806137,0
1.0353,0.202945
1.37282,1
0.809631,0
1.12332,0.334984
1.07227,0.258404
1.16074,0.391104
1.14202,0.363023
1.15255,0.378832
0.858295,0
0.690596,0
0.892894,0
1.42953,1
1.29436,1
0.908323,0.0124851
1.03702,0.205536
1.52579,1
0.999396,0.149094
0.703259,0
1.43441,1
1.04448,0.216714
1.08071,0.271071
1.11277,0.319151
0.981679,0.122518
0.778849,0
1.2441,1
1.04558,0.218368
0.921963,0.0329442
0.87392,0
0.854766,0
1.19914,0.44871
1.05892,0.238383
0.674273,0
0.927849,0.0417728
0.98006,0.12009
1.07399,0.260992
0.885232,0
0.770746,0
1.41731,1
1.49514,1
0.735058,0
1.20978,0.464668
1.01749,0.176242
0.848242,0
1.02128,0.181927
0.836254,0
1.14253,0.363792
0.900484,0.000725439
1.13073,0.346089
0.845833,0
0.680046,0
1.2491,1
1.1285,0.342756
0.961656,0.0924843
0.756194,0
1.11806,0.327083
1.31109,1
1.10249,0.30373
1.58264,1
0.771617,0
0.827806,0
0.942314,0.0634708
1.07765,0.266473
1.05623,0.234352
1.10204,0.303063
0.813673,0
0.793683,0
0.725531,0
1.30864,1
1.32548,1
1.2855,1
1.27074,1
0.868271,0
1.27896,1
0.584869,0
1.12964,0.344461
1.27339,1
1.06304,0.244561
0.960806,0.0912097
1.50318,1
0.994735,0.142103
1.16764,0.401457
1.06017,0.240252
1.29244,1
1.10488,0.30732
1.1778,0.416704
0.829739,0
1.21029,0.465436
1.08774,0.281606
1.14521,0.367811
1.12751,0.34127
1.30358,1
0.814575,0
1.33255,1
0.975335,0.113002
1.28339,1
1.25774,1
1.08733,0.28099
0.597121,0
0.962484,0.0937258
0.946503,0.0697546
1.66542,1
0.898941,0
1.51306,1
1.35005,1
1.04536,0.218043
1.28508,1
0.99537,0.143054
1.10238,0.303567
1.21454,0.471816
1.08724,0.280863
1.12883,0.343251
0.920834,0.0312509
0.823408,0
1.01482,0.172236
0.884769,0
1.00619,0.159285
1.45426,1
1.09491,0.292369
1.67424,1
1.03143,0.197139
1.25622,1
1.2236,0.485396
1.14173,0.362601
1.14249,0.363732
0.764718,0
1.21119,0.466782
1.02887,0.193299
1.1625,0.393743
0.845251,0
0.895017,0
1.11796,0.326939
1.20795,0.461919
1.22647,0.48971
1.26102,1
0.909252,0.0138775
1.09538,0.293072
0.842321,0
1.19025,0.435374
0.827906,0
1.39338,1
1.09391,0.290858
1.03749,0.20623
1.15683,0.385244
1.22889,0.493338
1.04248,0.213721
0.932497,0.0487452
1.20038,0.450567
1.26849,1
0.999289,0.148933
1.52307,1
1.23882,1
1.22919,0.493778
0.8985,0
1.29474,1
1.20464,0.456958
0.441446,0
1.21692,0.475387
1.09995,0.299918
1.04264,0.213962
0.840121,0
1.25512,1
0.79718,0
1.6775,1
1.44677,1
1.52069,1
0.618954,0
0.792064,0
1.15661,0.384921
0.743092,0
1.03891,0.208371
0.790313,0
1.11602,0.324025
1.50709,1
1.33834,1
0.991032,0.136548
0.901711,0.0025666
0.845018,0
1.14801,0.372009
1.91645,1
1.08186,0.272792
1.13297,0.349458
1.40923,1
1.16727,0.400908
1.30746,1
1.37555,1
1.37413,1
1.07833,0.267496
1.13199,0.347988
1.20822,0.462324
0.845552,0
0.783976,0
1.58861,1
1.35639,1
1.17198,0.407968
1.59647,1
1.23229,0.498441
1.20178,0.452665
1.53495,1
1.05529,0.232941
1.41754,1
1.11608,0.324125
1.07151,0.25726
1.20824,0.462354
1.1233,0.334944
1.1305,0.345753
1.02363,0.185446
1.22119,0.481791
1.2036,0.455402
0.812391,0
1.48164,1
1.54917,1
1.20811,0.462162
1.05361,0.23041
1.04298,0.214463
1.2751,1
0.875717,0
1.55148,1
0.923359,0.0350379
0.833255,0
1.18562,0.428426
0.497409,0
1.15056,0.375836
1.48065,1
0.997365,0.146048
0.478301,0
1.27531,1
1.18351,0.42526
0.933076,0.0496134
0.948279,0.0724182
1.41113,1
0.683367,0
1.18857,0.432852
1.12414,0.336212
1.18148,0.422225
1.0867,0.280055
1.40505,1
1.32263,1
1.01787,0.176807
0.707327,0
0.907605,0.0114068
1.12873,0.343093
1.22388,0.48582
1.43219,1
1.32942,1
1.71371,1
0.982061,0.123091
1.18116,0.421747
1.2848,1
1.0657,0.248556
0.957371,0.0860566
1.28482,1
1.33378,1
1.08021,0.270315
0.832455,0
1.04765,0.221477
1.06036,0.240539
1.30534,1
0.999945,0.149917
1.06969,0.254536
1.08566,0.278492
1.27776,1
1.23182,0.497734
0.92137,0.0320546
0.521547,0
0.590987,0
0.94159,0.0623857
0.939735,0.0596022
0.90205,0.00307525
1.09684,0.295254
1.28283,1
0.823415,0
0.956162,0.0842431
1.40157,1
1.08328,0.274913
1.03485,0.202279
1.30224,1
1.09013,0.285192
0.851854,0
1.20252,0.453778
1.18338,0.425071
1.10029,0.300439
0.95914,0.0887098
1.22854,0.492817
1.44127,1
1.29664,1
0.969589,0.104384
1.05018,0.225276
0.74251,0
1.30368,1
1.10039,0.300587
1.15724,0.385862
1.25486,1
1.27517,1
0.724483,0
1.18462,0.426929
1.01316,0.169742
0.906273,0.00940999
1.181,0.421504
1.09803,0.297042
0.765717,0
1.06302,0.244524
0.972565,0.108848
1.00722,0.160834
1.10979,0.314683
1.14063,0.360938
1.21204,0.468059
0.921449,0.0321735
1.42487,1
1.21995,0.479924
1.47098,1
0.777741,0
1.06826,0.252383
1.07765,0.266478
0.950527,0.0757906
1.19313,0.439697
1.21909,0.478631
1.01371,0.170561
1.04282,0.21423
1.36555,1
1.22815,0.492224
1.05631,0.234467
1.4279,1
1.25046,1
1.05277,0.229155
0.955118,0.0826768
1.15871,0.388067
0.867906,0
1.02608,0.189126
1.50143,1
1.18552,0.428273
0.473535,0
1.16866,0.402985
1.03619,0.204284
0.941734,0.0626005
1.3629,1
1.17495,0.412429
1.10406,0.306084
1.41229,1
1.6646,1
1.06039,0.240586
0.968876,0.103314
1.25056,1
1.17513,0.412696
1.31707,1
1.20099,0.451489
1.04246,0.213692
0.993998,0.140997
1.28385,1
1.28728,1
0.901685,0.00252823
1.02236,0.183546
1.58842,1
1.16755,0.401326
0.804166,0
1.50312,1
1.49493,1
1.18267,0.423999
0.984725,0.127087
1.22369,0.485532
1.21624,0.474365
0.6689,0
0.899585,0
1.05122,0.226829
0.963369,0.095054
0.885811,0
1.16027,0.390408
1.31033,1
0.822247,0
1.10068,0.301016
1.1859,0.428849
0.842544,0
0.881444,0
1.31475,1
0.567541,0
0.942641,0.0639608
0.793193,0
0.901703,0.00255387
1.15531,0.382964
1.57004,1
1.12074,0.331115
1.45019,1
0.988021,0.132032
1.17436,0.411538
1.2216,0.482401
1.26062,1
1.06539,0.248091
1.33868,1
0.752619,0
0.780799,0
1.27884,1
1.11679,0.325189
1.23772,1
1.05434,0.231513
1.20778,0.461668
1.29803,1
0.943697,0.0655453
1.00448,0.156716
1.10204,0.303067
1.19755,0.446332
1.1131,0.319656
1.02865,0.192973
1.08108,0.271616
1.19763,0.446446
0.571465,0
0.877211,0
1.06127,0.241898
0.532299,0
1.29125,1
1.21768,0.476519
0.828954,0
1.22326,0.484893
1.07829,0.267438
0.61489,0
1.08221,0.273315
1.19445,0.441682
0.518376,0
0.879042,0
1.06078,0.241175
1.08184,0.272765
1.11419,0.321281
1.03674,0.205114
1.17647,0.41471
1.29741,1
1.22459,0.486886
1.52912,1
1.24893,1
1.41598,1
1.10116,0.301734
1.71453,1
1.29124,1
1.21201,0.468014
1.10074,0.301113
1.04536,0.218046
0.917799,0.026698
1.11233,0.3185
1.28891,1
1.13005,0.345073
1.17488,0.412322
0.879746,0
1.27416,1
1.29917,1
1.04698,0.220477
1.48767,1
1.3368,1
1.33874,1
1.03799,0.20699
1.03014,0.195207
1.16528,0.397927
0.692989,0
1.09969,0.29953
1.16481,0.397222
1.38045,1
1.07294,0.259407
1.00726,0.160888
0.908297,0.012446
1.035,0.202502
0.916751,0.0251266
1.12973,0.344596
0.841676,0
1.60309,1
1.07503,0.262538
1.25445,1
0.991868,0.137802
0.818599,0
0.863831,0
1.36883,1
0.999565,0.149348
1.04319,0.214791
1.11315,0.319726
0.438015,0
0.916312,0.0244685
0.999519,0.149278
1.10291,0.30436
1.32021,1
1.23494,1
1.02331,0.184969
1.03698,0.205476
1.36721,1
0.908484,0.0127262
1.07187,0.257801
1.05626,0.23439
1.50224,1
1.54371,1
0.929337,0.0440057
1.067,0.250496
1.24936,1
0.910585,0.0158781
1.54475,1
0.966366,0.0995496
1.08544,0.278155
0.949605,0.0744077
0.629212,0
0.961748,0.0926218
0.718472,0
1.13646,0.354691
1.27916,1
0.774802,0
0.671701,0
1.18554,0.428304
1.17974,0.419608
1.36859,1
0.669745,0
0.987714,0.131571
0.999156,0.148734
0.993947,0.14092
0.820362,0
1.12204,0.333056
0.982465,0.123698
1.0481,0.222152
0.648703,0
1.09105,0.286571
1.15316,0.379734
1.14352,0.365276
1.11635,0.324526
1.04085,0.211277
1.26557,1
1.19514,0.442708
1.42811,1
1.12585,0.338775
1.23706,1
1.14268,0.364019
0.735867,0
1.2206,0.480904
0.718016,0
1.26252,1
1.16025,0.39038
1.58181,1
1.39338,1
0.87533,0
1.20982,0.464732
1.33988,1
1.29291,1
1.20211,0.453165
0.867399,0
1.24146,1
0.92476,0.0371405
1.24064,1
1.03737,0.206061
1.12596,0.338945
1.20141,0.452112
1.22812,0.492186
1.00786,0.161787
1.17778,0.416669
0.975087,0.112631
1.34523,1
0.778169,0
0.902891,0.00433696
1.01077,0.166149
1.01379,0.170691
1.3044,1
1.08852,0.282783
1.11028,0.315427
1.1803,0.420456
1.52733,1
0.874716,0
1.42449,1
1.02828,0.192426
1.33763,1
1.70165,1
1.26773,1
0.959217,0.0888251
1.12605,0.339073
0.510854,0
0.777863,0
1.08097,0.271454
1.18838,0.432573
0.558472,0
0.864845,0
1.09291,0.289361
1.19487,0.4423
1.23834,1
1.35732,1
1.44723,1
1.35336,1
1.1278,0.341702
0.763837,0
1.0002,0.150306
1.09438,0.291567
1.0516,0.227404
0.985823,0.128734
1.38458,1
0.855221,0
1.07174,0.257614
0.793964,0
0.988541,0.132811
1.29454,1
1.26231,1
1.28204,1
1.11665,0.32497
1.42303,1
1.33748,1
1.37607,1
0.883391,0
1.12098,0.331471
1.4006,1
1.2322,0.498296
