flow,fail
1.22737,0.49106
1.18894,0.433405
1.14238,0.363577
1.16584,0.398763
1.18158,0.422373
1.21604,0.474067
1.22531,0.48797
1.19872,0.448073
1.19468,0.442015
1.16076,0.391139
1.17632,0.414474
1.22888,0.493327
1.25765,1
1.1939,0.440857
1.24532,1
1.19685,0.445276
1.2224,0.483597
1.24641,1
1.21383,0.470742
1.19452,0.441779
1.15998,0.389964
1.16212,0.393176
1.18728,0.430918
1.23822,1
1.18366,0.425496
1.27328,1
1.17336,0.410036
1.17272,0.409077
1.2313,0.496951
1.21319,0.469783
1.17844,0.417665
1.1843,0.426451
1.17083,0.406246
1.17755,0.416319
1.21656,0.474835
1.20913,0.463699
1.16162,0.392436
1.19933,0.448988
1.16659,0.399883
1.23075,0.496125
1.24829,1
1.2188,0.478197
1.18478,0.427177
1.25263,1
1.13498,0.352473
1.24085,1
1.19592,0.443886
1.21919,0.478782
1.18715,0.430725
1.2144,0.471599
1.19054,0.435815
1.17644,0.414665
1.20203,0.453038
1.2348,1
1.17977,0.419654
1.18587,0.428809
1.27995,1
1.1831,0.42465
1.20838,0.462573
1.19461,0.441915
1.21924,0.478867
1.19395,0.44092
1.23335,1
1.16414,0.396212
1.18514,0.427707
1.24225,1
1.15334,0.380012
1.21413,0.471191
1.24432,1
1.19817,0.447253
1.23804,1
1.18213,0.423192
1.20374,0.455607
1.20859,0.462891
1.17592,0.413875
1.19428,0.441424
1.21128,0.466927
1.20584,0.458756
1.19403,0.441043
1.17742,0.416124
1.19039,0.435578
1.20388,0.455813
1.2515,1
1.20511,0.45767
1.17184,0.407764
1.24871,1
1.13073,0.346102
1.23268,0.499025
1.23216,0.498245
1.17705,0.415574
1.18401,0.426018
1.12755,0.341326
1.27025,1
1.17826,0.417394
1.24945,1
1.25007,1
1.2183,0.47745
1.21894,0.478403
1.21396,0.470937
1.19578,0.443677
1.12713,0.3407
1.21439,0.471584
1.21007,0.465105
1.11218,0.31827
1.25712,1
1.18842,0.432633
1.20694,0.460412
1.18012,0.420176
1.16578,0.398668
1.19866,0.447984
1.20027,0.450402
1.19031,0.435463
1.17833,0.417496
1.21678,0.475177
1.23166,0.497493
1.14892,0.373377
1.25625,1
1.15932,0.388983
1.24046,1
1.24183,1
1.23453,1
1.18263,0.423942
1.2295,0.494245
1.17935,0.419026
1.20851,0.462763
1.24275,1
1.18043,0.420646
1.19879,0.448191
1.20651,0.459771
1.17607,0.414111
1.16325,0.394873
1.18474,0.42711
1.22143,0.482144
1.21902,0.478529
1.14553,0.368289
1.22806,0.492095
1.23267,0.499006
1.22823,0.492351
1.23408,1
1.18256,0.42384
1.21953,0.479298
1.19599,0.443983
1.17202,0.408023
1.23376,1
1.22962,0.494423
1.13335,0.350032
1.21218,0.468271
1.20128,0.451921
1.15817,0.387259
1.24593,1
1.18498,0.427471
1.18939,0.434084
1.20238,0.453573
1.22413,0.486197
1.17078,0.406166
1.22634,0.489512
1.20987,0.464806
1.22657,0.489852
1.21817,0.477258
1.21345,0.470171
1.19893,0.448395
1.23465,1
1.18677,0.430151
1.18643,0.429651
1.20091,0.451371
1.23075,0.496121
1.21616,0.474239
1.17141,0.407112
1.16824,0.402365
1.20711,0.460661
1.2154,0.473101
1.17794,0.416914
1.20245,0.45368
1.15984,0.389759
1.24016,1
1.21603,0.47404
1.19263,0.438948
1.12298,0.334463
1.17349,0.410236
1.21926,0.478888
1.17129,0.406936
1.17326,0.409887
1.18796,0.431942
1.24308,1
1.14982,0.374726
1.20631,0.459472
1.17985,0.419771
1.21166,0.467485
1.22616,0.489241
1.15981,0.389715
1.17471,0.412069
1.19234,0.438504
1.17073,0.406088
1.19293,0.439392
1.17727,0.415909
1.21931,0.478971
1.19812,0.447185
1.2433,1
1.25861,1
1.22206,0.483088
1.21982,0.479725
1.20485,0.457272
1.22706,0.490586
1.2189,0.478355
1.1968,0.445199
1.22211,0.483161
1.19226,0.438389
1.15362,0.380425
1.23124,0.496862
1.15757,0.386358
1.23334,1
1.20457,0.456848
1.19047,0.435707
1.18044,0.420666
1.20399,0.455978
1.18137,0.422061
1.24678,1
1.2491,1
1.22402,0.486036
1.24601,1
1.14972,0.374573
1.20008,0.450125
1.19141,0.437114
1.25483,1
1.21453,0.471794
1.21116,0.466741
1.21463,0.471938
1.1627,0.394053
1.20067,0.450999
1.26301,1
1.21518,0.472774
1.14507,0.367609
1.21975,0.479625
1.21512,0.472677
1.25108,1
1.22212,0.483175
1.18691,0.430372
1.18342,0.425128
1.19678,0.44517
1.21913,0.478692
1.22931,0.49397
1.23209,0.498139
1.22825,0.492382
1.2208,0.481195
1.18576,0.428641
1.16196,0.392941
1.18611,0.429166
1.1547,0.382054
1.17453,0.411802
1.21562,0.473437
1.17328,0.409923
1.1203,0.330446
1.22137,0.48205
1.17437,0.411556
1.16173,0.392592
1.26091,1
1.15844,0.387662
1.19085,0.436274
1.23858,1
1.15894,0.388403
1.2033,0.454948
1.19608,0.444117
1.20859,0.462884
1.20594,0.458913
1.20743,0.461148
1.16582,0.398727
1.1421,0.363152
1.17071,0.406066
1.2466,1
1.22749,0.491231
1.17289,0.409339
1.19109,0.436641
1.26022,1
1.18577,0.428659
1.14389,0.365839
1.24729,1
1.19215,0.438222
1.19727,0.445909
1.20181,0.452708
1.18327,0.4249
1.15458,0.381874
1.22038,0.480568
1.1923,0.438455
1.17482,0.412233
1.16803,0.402041
1.16532,0.397978
1.21402,0.471031
1.19419,0.441286
1.13979,0.35969
1.17565,0.413481
1.18304,0.424557
1.19632,0.444483
1.16963,0.404441
1.15344,0.380155
1.24487,1
1.25588,1
1.14839,0.372584
1.21553,0.473288
1.18833,0.432498
1.1644,0.396594
1.18887,0.433302
1.1627,0.394051
1.20601,0.459021
1.17178,0.407676
1.20435,0.456518
1.16406,0.396083
1.14061,0.360914
1.22109,0.481628
1.20403,0.456047
1.18044,0.420653
1.15138,0.377068
1.20255,0.45383
1.22985,0.494778
1.20035,0.450527
1.26826,1
1.15356,0.380339
1.16151,0.392259
1.1777,0.41655
1.19684,0.445258
1.19381,0.440716
1.20029,0.450433
1.15951,0.389261
1.15668,0.38502
1.14704,0.370563
1.22951,0.494258
1.23189,0.497832
1.22623,0.48935
1.22415,0.48622
1.16723,0.400843
1.22531,0.487964
1.12715,0.340724
1.20419,0.456288
1.22452,0.486782
1.19477,0.44216
1.18032,0.420473
1.25702,1
1.18511,0.42767
1.20957,0.464348
1.19437,0.44155
1.22722,0.490823
1.20069,0.451035
1.211,0.466504
1.16178,0.392669
1.2156,0.473396
1.19827,0.447399
1.20639,0.45959
1.20389,0.455836
1.22879,0.493185
1.15963,0.389452
1.23289,0.499331
1.18237,0.423554
1.22594,0.488903
1.22231,0.483462
1.19821,0.447312
1.12888,0.343323
1.18055,0.420828
1.17829,0.417438
1.27996,1
1.17157,0.407349
1.25842,1
1.23536,1
1.19227,0.438409
1.22617,0.489261
1.1852,0.427805
1.20034,0.450504
1.2162,0.474298
1.1982,0.447294
1.20408,0.456117
1.17466,0.411993
1.16088,0.391326
1.18795,0.431931
1.16956,0.404343
1.18673,0.4301
1.2501,1
1.19928,0.448921
1.28121,1
1.1903,0.435453
1.22209,0.483139
1.21748,0.476219
1.2059,0.458853
1.20601,0.459013
1.15258,0.378876
1.21572,0.473586
1.18994,0.43491
1.20884,0.463257
1.16397,0.39596
1.17101,0.406516
1.20254,0.45381
1.21527,0.472899
1.21789,0.476829
1.22277,0.484157
1.17302,0.409536
1.19935,0.44902
1.16356,0.395338
1.21276,0.469145
1.16152,0.39228
1.24149,1
1.19914,0.448707
1.19116,0.436739
1.20804,0.462055
1.21823,0.477342
1.19187,0.437798
1.17631,0.414467
1.2142,0.471293
1.22383,0.485742
1.18576,0.428636
1.25983,1
1.21963,0.479449
1.21827,0.477404
1.1715,0.407255
1.22754,0.491311
1.2148,0.472197
1.10687,0.3103
1.21654,0.474804
1.19999,0.449988
1.19189,0.437832
1.16325,0.394871
1.22194,0.482906
1.15717,0.385762
1.28167,1
1.24904,1
1.2595,1
1.13197,0.347955
1.15645,0.384677
1.20801,0.46201
1.14953,0.374288
1.19136,0.437042
1.1562,0.384305
1.20227,0.453398
1.25757,1
1.23371,1
1.18459,0.426884
1.17196,0.407937
1.16394,0.39591
1.20679,0.460184
1.31546,1
1.19743,0.446152
1.20466,0.456994
1.24373,1
1.20951,0.464271
1.22934,0.494009
1.23897,1
1.23877,1
1.19694,0.445403
1.20452,0.456786
1.2153,0.472956
1.16402,0.396024
1.15531,0.382961
1.2691,1
1.23626,1
1.21018,0.465269
1.27021,1
1.21871,0.478064
1.21439,0.47159
1.26151,1
1.19368,0.440516
1.24491,1
1.20227,0.453412
1.19597,0.443956
1.21531,0.47296
1.20329,0.454942
1.20431,0.45647
1.1892,0.4338
1.21714,0.475709
1.21465,0.471977
1.15933,0.388989
1.25397,1
1.26352,1
1.21529,0.472933
1.19344,0.440159
1.19194,0.437903
1.22476,0.487145
1.16828,0.402422
1.26385,1
1.17502,0.412529
1.16228,0.393415
1.21211,0.468162
1.11478,0.322171
1.20715,0.460725
1.25383,1
1.18549,0.428228
1.11208,0.318118
1.22479,0.487189
1.21181,0.467714
1.17639,0.41459
1.17854,0.417815
1.244,1
1.14108,0.361619
1.21253,0.468788
1.20341,0.455121
1.21152,0.467285
1.19812,0.447179
1.24314,1
1.23148,0.497227
1.18839,0.432578
1.14447,0.366702
1.17279,0.409187
1.20406,0.456094
1.21752,0.476279
1.24698,1
1.23244,0.498667
1.28679,1
1.18332,0.424981
1.21148,0.467218
1.22613,0.489202
1.19515,0.442725
1.17983,0.419744
1.22614,0.489207
1.23306,0.499592
1.1972,0.445802
1.16216,0.393245
1.1926,0.438895
1.19439,0.441591
1.22904,0.493559
1.18585,0.428775
1.19571,0.44357
1.19797,0.446958
1.22514,0.487709
1.21864,0.477964
1.17474,0.412107
1.11819,0.327292
1.12801,0.342022
1.1776,0.416396
1.17734,0.416003
1.17201,0.408008
1.19955,0.449329
1.22586,0.488785
1.16088,0.391327
1.17966,0.419487
1.24265,1
1.19763,0.446452
1.19079,0.43618
1.2286,0.492901
1.1986,0.447906
1.16491,0.39736
1.2145,0.471748
1.21179,0.467688
1.20004,0.450062
1.18008,0.420119
1.21818,0.477268
1.24826,1
1.22781,0.491713
1.18156,0.422336
1.19295,0.439432
1.14944,0.374165
1.2288,0.493207
1.20006,0.450083
1.2081,0.462143
1.2219,0.48285
1.22477,0.487158
1.14689,0.370341
1.21197,0.467951
1.18772,0.431579
1.1726,0.408904
1.21146,0.467183
1.19972,0.449582
1.15273,0.379088
1.19477,0.442155
1.18198,0.422967
1.18688,0.430319
1.20138,0.452076
1.20575,0.458618
1.21584,0.473767
1.17475,0.412124
1.24594,1
1.21696,0.475445
1.25246,1
1.15443,0.381638
1.19551,0.443266
1.19684,0.445259
1.17886,0.418292
1.21317,0.469756
