flow,fail
1.28656,1
1.16501,0.397521
1.0178,0.176705
1.09198,0.287975
1.14176,0.362636
1.25074,1
1.28005,1
1.19594,0.443907
1.18317,0.424748
1.07591,0.263864
1.12511,0.337658
1.29134,1
1.38231,1
1.18073,0.421088
1.34331,1
1.19004,0.435062
1.27083,1
1.34677,1
1.24373,1
1.18267,0.424004
1.07343,0.26015
1.0802,0.270306
1.15977,0.389656
1.32087,1
1.14834,0.37251
1.43172,1
1.11575,0.323622
1.11373,0.320589
1.29898,1
1.24171,1
1.13183,0.347746
1.15035,0.375531
1.10776,0.311639
1.12899,0.34349
1.25236,1
1.22888,0.493319
1.07864,0.267967
1.19787,0.4468
1.09434,0.291516
1.29724,1
1.35271,1
1.25944,1
1.15189,0.377828
1.36643,1
0.994395,0.141592
1.32918,1
1.18711,0.430666
1.26068,1
1.15936,0.389046
1.24553,1
1.1701,0.405144
1.12551,0.338261
1.20641,0.459608
1.31004,1
1.13602,0.354037
1.15532,0.382987
1.45283,1
1.14656,0.369835
1.22651,0.489761
1.18296,0.424434
1.26086,1
1.18086,0.421288
1.30546,1
1.0866,0.279906
1.153,0.379504
1.33361,1
1.05245,0.228679
1.24467,1
1.34015,1
1.19421,0.441313
1.3203,1
1.14348,0.365224
1.21182,0.467731
1.22718,0.490766
1.12384,0.335763
1.18192,0.422879
1.23568,1
1.21846,0.477689
1.18112,0.421676
1.12858,0.342875
1.1696,0.404393
1.21226,0.468383
1.36286,1
1.21617,0.474253
1.11096,0.316437
1.35404,1
0.980963,0.121444
1.30335,1
1.30171,1
1.12742,0.341135
1.14944,0.374163
0.970895,0.106342
1.42216,1
1.13126,0.346891
1.35638,1
1.35832,1
1.25787,1
1.25988,1
1.24414,1
1.18667,0.430006
0.969576,0.104364
1.2455,1
1.23184,0.497766
0.922289,0.0334337
1.38062,1
1.16339,0.395082
1.22195,0.482925
1.13712,0.355687
1.09178,0.287675
1.19575,0.443624
1.20085,0.451272
1.16935,0.404031
1.13148,0.347214
1.25308,1
1.30012,1
1.03846,0.207696
1.37787,1
1.07137,0.257049
1.32794,1
1.33227,1
1.30919,1
1.14506,0.367596
1.29328,1
1.1347,0.352053
1.22691,0.490361
1.3352,1
1.13812,0.357175
1.19619,0.444281
1.2206,0.480897
1.12434,0.336509
1.08378,0.275674
1.15174,0.377615
1.26776,1
1.26014,1
1.02774,0.191607
1.28874,1
1.30331,1
1.28928,1
1.30776,1
1.14485,0.367276
1.26177,1
1.18732,0.430973
1.1115,0.317257
1.30677,1
1.29365,1
0.98925,0.133874
1.23852,1
1.20405,0.456076
1.06773,0.251596
1.34524,1
1.1525,0.378756
1.16645,0.399668
1.20753,0.461299
1.27631,1
1.10759,0.311386
1.2833,1
1.23121,0.496821
1.28402,1
1.25746,1
1.24252,1
1.19662,0.444923
1.30958,1
1.15815,0.387231
1.1571,0.385652
1.20289,0.454337
1.29723,1
1.2511,1
1.10959,0.314378
1.09958,0.299366
1.22248,0.483713
1.2487,1
1.13025,0.345373
1.20776,0.461638
1.073,0.259502
1.32699,1
1.25068,1
1.1767,0.415049
0.956426,0.0846391
1.11617,0.324257
1.2609,1
1.10921,0.313819
1.11544,0.323153
1.16193,0.392894
1.33624,1
1.04131,0.211962
1.21997,0.479954
1.13627,0.354407
1.23686,1
1.28273,1
1.07291,0.259362
1.12003,0.330052
1.17576,0.413647
1.10742,0.311137
1.17764,0.416454
1.12813,0.342194
1.26108,1
1.19407,0.441099
1.33691,1
1.38533,1
1.26976,1
1.26267,1
1.21533,0.472996
1.28556,1
1.25978,1
1.18988,0.434817
1.26991,1
1.17552,0.413281
1.05332,0.229985
1.29879,1
1.06583,0.248746
1.30544,1
1.21444,0.471656
1.16987,0.404803
1.13816,0.357239
1.2126,0.468904
1.1411,0.361648
1.34792,1
1.35527,1
1.27597,1
1.34551,1
1.04099,0.211478
1.20026,0.450397
1.17283,0.409252
1.3734,1
1.24595,1
1.23529,1
1.24625,1
1.08205,0.273081
1.20211,0.45316
1.39926,1
1.24801,1
1.0263,0.189457
1.26245,1
1.24781,1
1.36153,1
1.26994,1
1.15862,0.387932
1.14757,0.371348
1.18982,0.434726
1.26049,1
1.2927,1
1.30149,1
1.28935,1
1.26576,1
1.15497,0.382457
1.07971,0.269564
1.15608,0.384118
1.05676,0.235136
1.11947,0.329206
1.24941,1
1.11551,0.323266
0.947959,0.0719382
1.26757,1
1.11895,0.328431
1.07897,0.268461
1.39261,1
1.06858,0.252871
