flow,fail
1.07373,0.2606
0.689364,0
0.223844,0
0.458422,0
0.615821,0
0.960443,0.0906651
1.05313,0.229696
0.787155,0
0.746764,0
0.40759,0
0.563162,0
1.08885,0.283271
1.37651,1
0.739048,0
1.25319,1
0.768508,0
1.02398,0.185965
1.26413,1
0.938281,0.0574219
0.745197,0
0.399761,0
0.421171,0
0.672785,0
1.18223,0.423349
0.636637,0
1.53276,1
0.533572,0
0.527177,0
1.11301,0.319509
0.931884,0.0478267
0.58443,0
0.643005,0
0.508309,0
0.575457,0
0.965568,0.0983527
0.891324,0
0.416241,0
0.793253,0
0.465887,0
1.1075,0.311246
1.28291,1
0.98798,0.13197
0.647848,0
1.32631,1
0.149819,0
1.20851,0.462758
0.759241,0
0.99188,0.13782
0.671498,0
0.943993,0.065989
0.705436,0
0.564433,0
0.820255,0
1.14797,0.37195
0.597693,0
0.658723,0
1.59952,1
0.630998,0
0.883823,0
0.746103,0
0.992444,0.138665
0.739469,0
1.1335,0.350255
0.441411,0
0.65138,0
1.2225,0.483747
0.333415,0
0.941271,0.0619067
1.24319,1
0.781686,0
1.18044,0.420657
0.621277,0
0.83738,0
0.885943,0
0.559166,0
0.742823,0
0.912845,0.019268
0.858374,0
0.740287,0
0.57416,0
0.703853,0
0.838754,0
1.315,1
0.85113,0
0.518425,0
1.28712,1
0.107343,0
1.12684,0.340253
1.12163,0.332446
0.570493,0
0.640122,0
0.0755058,0
1.50253,1
0.582627,0
1.29451,1
1.30065,1
0.983002,0.124502
0.989355,0.134033
0.939578,0.0593663
0.757849,0
0.0713364,0
0.94389,0.0658354
0.900701,0.00105093
0.0781988,0
1.37117,1
0.684223,0
0.869411,0
0.601171,0
0.45779,0
0.786559,0
0.802682,0
0.703089,0
0.583308,0
0.967849,0.101774
1.11662,0.324932
0.289179,0
1.36246,1
0.393223,0
1.20459,0.456884
1.21829,0.477434
1.1453,0.367956
0.626277,0
1.09497,0.29245
0.593509,0
0.885088,0
1.22754,0.491311
0.604308,0
0.787943,0
0.865137,0
0.560741,0
0.432488,0
0.6474,0
1.01429,0.171436
0.990193,0.135289
0.25526,0
1.08064,0.270954
1.12671,0.340062
1.08234,0.273507
1.14075,0.361131
0.625603,0
0.995322,0.142984
0.759888,0
0.520153,0
1.13764,0.356465
1.09615,0.294232
0.133548,0
0.921806,0.0327084
0.812809,0
0.381727,0
1.25928,1
0.649804,0
0.693891,0
0.82382,0
1.04131,0.21197
0.507776,0
1.06342,0.245124
0.898707,0
1.06568,0.248524
0.981719,0.122579
0.934475,0.0517126
0.789297,0
1.14653,0.369792
0.667671,0
0.664343,0
0.809143,0
1.10747,0.31121
0.961596,0.0923936
0.514083,0
0.482435,0
0.871073,0
0.954005,0.0810077
0.579426,0
0.824535,0
0.398394,0
1.20157,0.452354
0.960264,0.0903964
0.726317,0
0.0297516,0
0.53491,0
0.992585,0.138878
0.512906,0
0.532583,0
0.679611,0
1.23082,0.496232
0.298171,0
0.863149,0
0.598472,0
0.916564,0.0248463
1.0616,0.242406
0.3981,0
0.547126,0
0.723361,0
0.507252,0
0.729279,0
0.572726,0
0.993141,0.139712
0.781236,0
1.23295,0.499431
1.38606,1
1.02059,0.180879
0.998167,0.147251
0.84848,0
1.07057,0.255862
0.989031,0.133546
0.767992,0
1.02107,0.18161
0.722591,0
0.336167,0
1.11242,0.318624
0.375719,0
1.13342,0.350131
0.845655,0
0.704717,0
0.604442,0
0.839854,0
0.613738,0
1.26776,1
1.29101,1
1.04024,0.21036
1.26013,1
0.297152,0
0.800836,0
0.714095,0
1.34834,1
0.945291,0.0679369
0.911609,0.0174134
0.946254,0.0693817
0.427022,0
0.806662,0
1.43011,1
0.951828,0.077742
0.250726,0
0.997499,0.146248
0.951179,0.0767681
1.31081,1
1.02117,0.181749
0.669149,0
0.634186,0
0.7678,0
0.991283,0.136924
1.09313,0.289696
1.12093,0.33139
1.08254,0.273816
1.00797,0.161948
0.657606,0
0.419608,0
0.661108,0
0.347027,0
0.545344,0
0.956249,0.0843741
0.532821,0
0.00297567,0
1.01367,0.170502
0.543709,0
0.417282,0
1.40907,1
0.384415,0
0.708496,0
1.18583,0.428743
0.389356,0
0.832983,0
0.760783,0
0.885894,0
0.859418,0
0.874323,0
0.458178,0
0.221015,0
0.507108,0
1.26603,1
1.07487,0.26231
0.528928,0
0.710938,0
1.40216,1
0.657724,0
0.238924,0
1.27292,1
0.721477,0
0.772725,0
0.818056,0
0.632669,0
0.345824,0
1.00378,0.155676
0.723037,0
0.548217,0
0.480275,0
0.453187,0
0.940205,0.0603081
0.741907,0
0.197931,0
0.556541,0
0.630379,0
0.763223,0
0.496273,0
0.334365,0
1.24874,1
1.35882,1
0.283894,0
0.95525,0.0828752
0.68332,0
0.44396,0
0.68868,0
0.427007,0
0.860143,0
0.517841,0
0.843453,0
0.440553,0
0.206095,0
1.01086,0.166285
0.840311,0
0.604352,0
0.313785,0
0.825534,0
1.09852,0.297781
0.803517,0
1.48256,1
0.335597,0
0.41506,0
0.576998,0
0.76839,0
0.738107,0
0.802888,0
0.395073,0
0.366802,0
0.270421,0
1.09505,0.292582
1.11888,0.328322
1.06233,0.243496
1.04146,0.212195
0.472286,0
1.05309,0.229639
0.0714945,0
0.841919,0
1.04522,0.217824
0.747732,0
0.603151,0
1.37018,1
0.651133,0
0.895655,0
0.743669,0
1.07215,0.258232
0.806902,0
0.91003,0.0150449
0.417794,0
0.955974,0.0839614
0.782658,0
0.863932,0
0.838909,0
1.0879,0.281848
0.396348,0
1.12887,0.343312
0.623696,0
1.05936,0.239034
1.02308,0.184616
0.782077,0
0.0888218,0
0.605523,0
0.582923,0
1.59962,1
0.51566,0
1.38415,1
1.15363,0.380442
0.72273,0
1.06174,0.242615
0.65203,0
0.803363,0
0.961989,0.092984
0.781957,0
0.840777,0
0.546621,0
0.40884,0
0.679543,0
0.495617,0
0.667333,0
1.301,1
0.792805,0
1.61209,1
0.703022,0
1.02092,0.181386
0.974793,0.11219
0.859021,0
0.860087,0
0.32584,0
0.957243,0.0858649
0.699401,0
0.888382,0
0.439731,0
0.51011,0
0.825398,0
0.952659,0.0789878
0.97886,0.118291
1.02771,0.191566
0.530241,0
0.793469,0
0.435587,0
0.927632,0.0414483
0.415201,0
1.2149,0.472357
0.791381,0
0.711593,0
0.880369,0
0.982281,0.123422
0.718655,0
0.563115,0
0.941956,0.0629341
1.03828,0.207423
0.657573,0
1.39832,1
0.996326,0.144489
0.982695,0.124043
0.515036,0
1.0754,0.263106
0.947981,0.0719721
0.131336,0
0.965357,0.0980351
0.799923,0
0.718882,0
0.432476,0
1.01937,0.179061
0.371748,0
1.61672,1
1.2904,1
1.39495,1
0.119698,0
0.364513,0
0.880065,0
0.295256,0
0.713611,0
0.362036,0
0.822651,0
1.37572,1
1.13707,0.355604
0.645896,0
0.519577,0
0.4394,0
0.867891,0
1.95464,1
0.774348,0
0.84663,0
1.23732,1
0.895137,0
1.09339,0.290085
1.18969,0.434538
1.18767,0.43151
0.769355,0
0.845243,0
0.953041,0.0795613
0.440157,0
0.353074,0
1.491,1
1.16259,0.393887
0.901793,0.00268911
1.50211,1
0.987092,0.130639
0.943934,0.0659007
1.41512,1
0.736776,0
1.24907,1
0.822745,0
0.759704,0
0.953069,0.0796039
0.832946,0
0.843136,0
0.691997,0
0.971394,0.107091
0.946514,0.0697709
0.39326,0
1.33973,1
1.43522,1
0.952888,0.0793317
0.73439,0
0.719355,0
1.04763,0.221447
0.482816,0
1.4385,1
0.550191,0
0.422766,0
0.921081,0.0316219
0.052193,0
0.871499,0
1.33832,1
0.654853,0
0.0792156,0
1.04793,0.221893
0.918096,0.0271444
0.563933,0
0.585434,0
1.24001,1
0.210792,0
0.925254,0.0378815
0.834141,0
0.915235,0.022852
0.781196,0
1.2314,0.497106
1.11485,0.32227
0.683852,0
0.244677,0
0.527912,0
0.840628,0
0.975193,0.11279
1.26978,1
1.12445,0.336674
1.66791,1
0.633209,0
0.914784,0.0221756
1.06135,0.24202
0.751498,0
0.598292,0
1.06138,0.242072
1.13061,0.345917
0.772012,0
0.421634,0
0.725968,0
0.74394,0
1.09039,0.285585
0.658501,0
0.757136,0
0.779722,0
1.0514,0.227093
0.986425,0.129638
0.547379,0
0.0180559,0
0.0801473,0
0.575975,0
0.573351,0
0.520057,0
0.795526,0
1.05857,0.237851
0.40885,0
0.596582,0
1.22648,0.489724
0.776348,0
0.707868,0
1.08601,0.279012
0.786039,0
0.449069,0
0.944983,0.0674751
0.917918,0.0268767
0.800414,0
0.600794,0
0.98179,0.122684
1.28263,1
1.07808,0.267126
0.615571,0
0.729549,0
0.294432,0
1.08805,0.282071
0.800553,0
0.880952,0
1.019,0.178502
1.04772,0.221582
0.268939,0
0.91967,0.0295052
0.677192,0
0.526029,0
0.914555,0.0218326
0.797211,0
0.327252,0
0.747697,0
0.61978,0
0.668793,0
0.813843,0
0.857453,0
0.958447,0.0876709
0.547491,0
1.25943,1
0.969634,0.104452
1.32464,1
0.344256,0
0.755106,0
0.768395,0
0.588613,0
0.931707,0.047561
0.968415,0.102622
0.677963,0
0.719135,0
1.17554,0.413317
0.98123,0.121845
0.738215,0
1.26372,1
1.01278,0.169165
0.733207,0
0.595106,0
0.88303,0
0.471769,0
0.695467,0
1.36771,1
0.920937,0.031405
0.0859551,0
0.897095,0
0.709758,0
0.576178,0
1.1718,0.407703
0.905999,0.00899866
0.805736,0
1.24164,1
1.59846,1
0.743984,0
0.614562,0
1.01292,0.169381
0.906251,0.00937667
1.10698,0.310468
0.942825,0.0642378
0.718628,0
0.65009,0
1.06001,0.240014
1.06485,0.24728
0.519541,0
0.690206,0
1.49074,1
0.895531,0
0.381628,0
1.37009,1
1.35852,1
0.916907,0.0253611
0.636976,0
0.974921,0.112381
0.964393,0.0965891
0.190332,0
0.516571,0
0.731014,0
0.606775,0
0.497091,0
0.885237,0
1.09745,0.296182
0.407197,0
0.800958,0
0.92148,0.0322195
0.435902,0
0.490915,0
1.1037,0.305553
0.0469888,0
0.57746,0
0.366109,0
0.519565,0
0.878219,0
1.46473,1
0.829335,0
1.29525,1
0.641638,0
0.905159,0.00773908
0.971969,0.107954
1.02715,0.190728
0.75106,0
1.13754,0.356316
0.308729,0
0.348582,0
1.05292,0.22938
0.823748,0
0.994759,0.142139
0.73543,0
0.952422,0.0786336
1.08005,0.270075
0.578954,0
0.66491,0
0.802891,0
0.937963,0.0569447
0.818532,0
0.699094,0
0.77324,0
0.938071,0.0571061
0.0525392,0
0.484929,0
0.745221,0
0.00285062,0
1.07047,0.255704
0.966424,0.0996359
0.416684,0
0.974319,0.111479
0.769301,0
0.11395,0
0.774841,0
0.933579,0.0503688
0.0225407,0
0.487518,0
0.744539,0
0.774322,0
0.820064,0
0.71054,0
0.908149,0.0122239
1.07918,0.268763
0.976197,0.114296
1.40687,1
1.01062,0.165927
1.24687,1
0.801635,0
1.66908,1
1.07046,0.255689
0.958405,0.0876078
0.801049,0
0.722733,0
0.542328,0
0.817442,0
1.06716,0.250739
0.842495,0
0.905898,0.00884752
0.488514,0
1.0463,0.219453
1.08167,0.272502
0.725025,0
1.34825,1
1.13488,0.352322
1.13763,0.356448
0.71231,0
0.7012,0
0.892327,0
0.224399,0
0.799557,0
0.891661,0
1.19662,0.444926
0.761729,0
0.668844,0
0.528892,0
0.708078,0
0.540847,0
0.842045,0
0.434675,0
1.51148,1
0.76468,0
1.01843,0.177648
0.647078,0
0.402039,0
0.466007,0
1.18018,0.42027
0.657964,0
0.719664,0
0.818598,0
0.136189,0
0.540226,0
0.657898,0
0.804111,0
1.11142,0.317126
0.990837,0.136255
0.691548,0
0.710881,0
1.17789,0.416831
0.529156,0
