flow,fail
1.26121,1
1.17526,0.412892
1.07117,0.256751
1.12362,0.335431
1.15882,0.388224
1.23588,1
1.2566,1
1.19713,0.445692
1.1881,0.432144
1.11225,0.318382
1.14704,0.370562
1.26459,1
1.32891,1
1.18637,0.429556
1.30134,1
1.19296,0.439437
1.25008,1
1.30378,1
1.23092,0.496381
1.18775,0.431618
1.1105,0.315756
1.11529,0.322937
1.17155,0.407331
1.28547,1
1.16347,0.395206
1.36385,1
1.14042,0.360637
1.13899,0.358492
1.26999,1
1.22949,0.494235
1.1518,0.377696
1.16489,0.397342
1.13478,0.352164
1.14979,0.374686
1.23702,1
1.22042,0.480631
1.11419,0.321283
1.19849,0.447737
1.12529,0.337935
1.26876,1
1.30798,1
1.24203,1
1.16598,0.398967
1.31769,1
1.05462,0.231923
1.29134,1
1.19089,0.436329
1.24291,1
1.17127,0.406899
1.2322,0.498297
1.17885,0.418282
1.14733,0.370988
1.20453,0.456794
1.27781,1
1.15476,0.382144
1.16841,0.402614
1.37878,1
1.16221,0.393315
1.21874,0.478115
1.18795,0.431922
1.24303,1
1.18646,0.429697
1.27457,1
1.11982,0.329726
1.16677,0.400151
1.29447,1
1.09567,0.293503
1.23159,0.497384
1.2991,1
1.1959,0.443857
1.28507,1
1.16004,0.390055
1.20836,0.462538
1.21922,0.478826
1.14615,0.369222
1.18721,0.430822
1.22523,0.487849
1.21305,0.469579
1.18665,0.429972
1.1495,0.374251
1.1785,0.417751
1.20867,0.462998
1.31516,1
1.21143,0.46715
1.13704,0.355557
1.30892,1
1.04512,0.217676
1.27308,1
1.27192,1
1.14868,0.373021
1.16425,0.396375
1.038,0.206997
1.35709,1
1.15139,0.377091
1.31058,1
1.31195,1
1.24092,1
1.24234,1
1.23121,0.496816
1.19057,0.435862
1.03707,0.205599
1.23217,0.498262
1.22252,0.483776
1.00363,0.155443
1.32772,1
1.17411,0.411167
1.21552,0.473281
1.15554,0.383311
1.12348,0.335219
1.19699,0.445492
1.2006,0.450899
1.17833,0.417495
1.15155,0.377319
1.23753,1
1.2708,1
1.08578,0.278665
1.32577,1
1.10904,0.313563
1.29047,1
1.29353,1
1.27721,1
1.16115,0.391732
1.26596,1
1.15383,0.380741
1.21903,0.478539
1.2956,1
1.15624,0.384363
1.1973,0.445956
1.21457,0.471848
1.1465,0.36975
1.11782,0.326733
1.16588,0.398816
1.24792,1
1.24253,1
1.07819,0.267289
1.26275,1
1.27305,1
1.26313,1
1.27619,1
1.161,0.391505
1.24368,1
1.19103,0.436546
1.13742,0.356136
1.2755,1
1.26622,1
1.05098,0.226465
1.22724,0.490855
1.20286,0.454296
1.10647,0.309707
1.3027,1
1.16642,0.399623
1.17627,0.41441
1.20533,0.457989
1.25396,1
1.13466,0.351985
1.2589,1
1.22207,0.483107
1.25941,1
1.24063,1
1.23007,0.495104
1.19761,0.44641
1.27749,1
1.17041,0.405616
1.16967,0.404499
1.20204,0.453067
1.26875,1
1.23613,1
1.13607,0.354101
1.12899,0.343485
1.21589,0.473839
1.23444,1
1.15068,0.376017
1.20549,0.458229
1.1102,0.315297
1.28979,1
1.23584,1
1.18352,0.425286
1.02777,0.191651
